GeneID	GSM3172777	GSM3172780	GSM3172781	GSM3172782	GSM3172783	GSM3172784	GSM3172785
100287102	42	49	5	8	17	1	1
653635	13	95	9	50	70	0	9
102466751	2	4	0	1	1	0	0
107985730	1	0	0	0	0	0	0
100302278	0	0	0	0	0	0	0
645520	1	0	0	0	0	0	0
79501	6	0	0	0	0	0	0
100996442	9	43	9	43	37	4	7
729737	170	229	46	70	340	17	11
102725121	38	53	3	7	32	1	0
102723897	8	105	12	46	61	0	9
102465909	3	3	0	1	2	0	0
107985721	4	0	0	0	0	0	0
112268260	13	14	1	3	9	0	0
729759	1	1	0	0	0	0	0
100132287	132	184	68	51	184	7	10
105378947	0	1	0	0	1	0	0
101928626	4	0	0	0	0	0	0
113219467	1087	431	679	333	434	5	63
81399	14	8	0	2	2	0	0
100133331	273	175	132	45	148	8	10
107984841	2	61	3	22	44	1	5
107984847	2	69	5	32	69	5	8
107984849	0	16	1	8	21	0	0
100288069	14	72	8	47	39	1	6
105378580	13	172	3	42	38	2	10
400728	2	30	2	10	13	0	4
79854	5	28	0	3	11	4	5
643837	7	57	6	40	44	2	3
107984850	2	0	0	0	0	0	0
284593	1	7	0	0	1	0	0
284600	0	0	0	0	0	0	0
100130417	0	0	0	0	0	0	0
107985728	0	0	0	0	0	0	0
148398	0	5	3	0	6	0	0
26155	8	103	16	36	79	6	6
339451	4	44	4	9	39	0	0
84069	2	6	0	2	5	0	0
84808	0	2	0	1	2	0	0
57801	0	0	4	0	3	3	1
9636	9	17	8	1	14	0	1
375790	5	18	7	1	18	0	1
100288175	0	2	0	2	1	0	0
112267874	4	0	0	0	1	0	0
105378948	0	3	1	3	4	0	0
401934	0	0	0	0	0	0	0
54991	3	33	4	8	29	0	3
254099	0	0	0	0	1	0	0
406984	0	0	0	0	0	0	0
406983	0	0	0	0	0	0	0
554210	0	0	0	0	0	0	0
100506376	3	0	0	0	0	0	0
254173	2	1	0	0	1	0	1
8784	0	7	4	0	9	0	0
7293	3	11	8	2	14	0	1
51150	34	154	36	52	118	4	23
126792	4	31	9	15	17	1	4
388581	0	2	1	1	2	0	0
118424	30	101	15	34	91	0	11
101928895	0	6	1	1	8	0	0
6339	5	16	0	5	23	0	1
116983	16	174	23	43	196	0	13
102465434	0	1	0	0	0	0	0
109623456	0	3	1	0	1	0	0
126789	4	28	5	6	13	0	1
54973	30	178	22	67	156	3	18
102465435	0	0	0	0	0	0	0
80772	1	37	5	3	25	0	0
83756	0	11	2	5	6	0	1
1855	9	61	9	10	79	1	3
102466740	0	0	0	0	0	0	0
54587	7	25	2	5	17	0	1
54998	12	29	8	11	17	0	0
81669	37	639	51	357	453	10	43
148413	11	48	7	19	25	1	3
55052	7	74	9	43	74	1	14
107984868	0	3	0	0	1	0	0
441869	0	1	2	0	0	0	0
105378585	0	0	0	0	0	0	0
643965	0	0	0	0	0	0	0
102724312	0	0	0	0	0	0	0
107985729	0	0	0	0	0	0	0
64856	1	0	2	0	0	0	0
219293	0	1	2	1	1	1	1
83858	9	125	7	20	59	3	7
55210	8	41	3	3	27	0	1
339453	0	0	0	0	0	0	0
29101	7	126	9	41	63	4	18
643988	0	10	0	0	5	0	0
105378586	0	0	0	0	1	0	0
142678	39	212	28	58	161	3	14
8510	6	14	1	9	10	0	0
984	30	227	22	86	160	18	76
728661	40	422	43	258	382	4	36
8511	0	1	0	0	3	0	0
728642	36	240	21	130	176	14	80
9906	39	633	34	272	224	4	16
112268218	1	23	6	9	19	1	0
65220	61	315	47	117	279	13	29
2782	116	931	86	307	414	45	160
105378949	0	1	0	0	0	0	0
163688	0	1	0	1	0	0	0
339456	0	0	0	0	0	0	0
85452	0	0	0	0	0	0	0
107984872	0	0	0	0	0	0	0
105378589	4	0	0	0	0	0	0
2563	4	0	0	0	0	0	0
105378590	2	0	0	0	0	0	0
105378591	0	0	0	0	0	0	0
5590	7	69	2	37	72	3	9
100506504	0	4	0	2	9	0	1
199990	17	39	7	8	32	0	7
112268219	1	14	1	4	16	1	1
105378593	0	3	0	0	3	0	2
6497	81	472	93	167	318	28	132
79906	11	23	1	7	15	1	1
100129534	5	6	0	7	4	0	0
11079	15	206	18	104	127	1	8
5192	0	23	5	6	20	0	3
9651	5	82	7	31	85	0	12
55229	5	135	14	47	118	1	5
388585	0	0	0	0	0	0	0
115110	6	80	10	25	72	4	19
8764	39	343	44	99	332	13	33
100996583	3	9	0	4	7	0	0
127281	6	20	5	8	25	0	1
79258	0	2	0	0	3	0	1
105378597	0	2	0	0	0	0	0
100287898	6	16	1	12	33	0	0
105378603	0	0	0	0	0	0	0
105378602	0	0	0	0	0	0	0
105378601	0	0	0	0	0	0	0
112268220	0	0	0	0	0	0	0
107985732	0	0	0	0	0	0	0
105378600	0	0	0	0	0	0	0
105378598	0	0	0	0	0	0	0
107984904	0	0	0	0	0	0	0
105378599	0	0	0	0	0	0	0
140625	0	0	0	0	0	0	0
440556	3	0	0	0	0	0	0
63976	0	0	0	0	0	0	0
100422968	0	0	0	0	0	0	0
105378606	7	0	0	0	0	0	0
107984909	0	0	0	0	0	0	0
105378605	0	0	0	0	0	0	0
105378604	9	0	0	1	0	0	0
27237	2	3	0	0	2	0	0
1953	39	116	14	50	123	0	7
105378608	0	0	0	0	0	0	0
693135	0	0	0	0	0	0	0
105378607	0	0	0	0	0	0	0
127262	15	121	8	32	41	3	11
49856	3	58	5	17	38	0	1
7161	0	4	1	1	4	0	0
105378610	0	0	0	1	0	0	0
105378609	0	0	0	0	0	0	0
57212	9	57	4	19	57	1	2
148870	0	3	0	0	0	0	0
388588	0	5	2	0	0	0	0
57470	15	106	26	22	59	1	11
9731	16	211	17	148	109	9	25
1677	13	58	4	31	29	0	1
107984910	0	11	0	1	3	0	0
339448	5	98	10	46	43	2	13
100133612	0	0	0	2	1	0	0
728716	0	0	0	0	0	0	0
105376672	0	0	0	0	0	0	0
105376673	0	0	0	0	0	0	0
284661	0	0	0	0	0	1	0
105376674	3	0	0	0	0	0	0
105376679	0	0	0	0	0	0	0
107985376	10	15	7	4	5	0	0
55966	0	6	0	1	2	0	0
105376680	3	0	0	0	0	0	0
102724429	0	0	0	0	0	0	0
105376681	0	0	0	0	0	0	0
105376682	0	0	0	0	0	0	0
107984911	5	0	0	0	0	0	0
