GeneID	GSM6443466	GSM6443467	GSM6443468	GSM6443469	GSM6443470	GSM6443471	GSM6443472	GSM6443473
100287102	13	24	15	20	9	14	20	8
653635	349	504	268	500	202	381	351	435
102466751	16	19	11	20	5	16	28	12
107985730	6	9	9	7	5	8	9	16
100302278	1	1	1	2	2	2	1	2
645520	2	2	1	1	1	0	1	0
79501	0	0	0	0	0	0	0	0
100996442	63	30	38	53	56	53	65	37
729737	80	89	69	56	96	74	114	80
102725121	15	23	14	15	12	13	28	10
102723897	372	496	292	507	239	464	416	446
102465909	9	11	8	10	5	8	12	6
107985721	22	28	40	31	14	20	24	39
112268260	39	21	40	29	28	29	41	44
729759	0	2	2	1	1	1	2	4
100132287	123	186	108	101	121	179	217	135
105378947	2	3	7	4	6	2	4	19
101928626	0	0	1	0	0	0	0	1
113219467	1075	843	1366	583	1044	1243	1393	994
81399	7	19	28	9	12	10	14	55
100133331	77	135	82	75	89	131	149	111
107984841	20	47	39	37	32	40	42	52
107984847	48	83	31	74	68	69	83	78
107984849	8	12	7	7	8	9	16	11
100288069	61	72	76	54	66	58	72	79
105378580	65	98	96	117	123	95	170	85
400728	13	20	21	31	24	21	45	21
79854	25	27	40	41	111	29	45	41
643837	366	461	475	581	229	541	404	507
107984850	2	3	1	5	6	5	9	2
284593	1	3	3	1	3	4	6	2
284600	42	38	86	71	35	55	81	91
100130417	15	11	23	29	21	11	45	35
107985728	8	9	7	31	14	14	28	29
148398	61	71	102	145	87	53	70	140
26155	507	799	837	912	537	740	493	1083
339451	147	252	273	270	107	261	277	290
84069	5	5	16	7	4	10	15	5
84808	4	4	4	1	1	5	6	1
57801	245	457	452	673	337	248	244	405
9636	36	86	58	74	32	13	20	45
375790	1749	2711	2923	2690	1680	2110	3351	3425
100288175	4	6	11	10	18	11	13	6
112267874	2	5	7	11	12	5	5	3
105378948	6	16	20	33	54	21	25	9
401934	0	1	0	2	5	2	4	1
54991	116	142	124	179	77	207	187	200
254099	0	1	0	0	1	0	0	0
406984	0	0	0	0	0	0	0	0
406983	0	0	0	0	0	0	0	0
554210	0	0	0	0	2	0	0	0
100506376	0	2	3	1	5	1	0	1
254173	0	0	7	2	5	1	0	2
8784	0	0	0	2	7	0	1	0
7293	0	3	4	10	21	2	9	5
51150	428	710	555	751	485	538	408	804
126792	244	486	509	385	97	452	285	530
388581	7	13	9	20	93	12	15	7
118424	301	402	444	478	229	388	308	474
101928895	37	34	44	51	31	45	72	57
6339	80	115	100	81	49	77	127	113
116983	997	1362	1683	1152	996	1604	1894	1751
102465434	1	1	3	0	2	3	4	1
109623456	8	17	19	6	7	14	20	15
126789	98	135	120	159	139	126	97	153
54973	545	888	736	954	572	791	716	837
102465435	3	10	9	3	3	6	6	10
80772	182	281	226	327	161	299	215	268
83756	55	78	61	75	32	75	110	60
1855	767	1193	821	1166	554	932	680	828
102466740	1	4	3	0	0	3	2	1
54587	140	185	197	120	95	153	158	261
54998	250	359	375	438	281	357	188	460
81669	2021	2969	3417	2819	1520	2817	2673	3961
148413	196	273	289	324	157	287	182	344
55052	220	330	323	351	168	311	207	474
107984868	8	11	17	4	12	5	9	8
441869	3	6	2	7	7	8	13	14
105378585	2	1	0	0	1	3	5	1
643965	0	0	0	0	0	0	1	1
102724312	2	2	6	1	2	1	2	1
107985729	2	1	2	2	5	0	0	1
64856	81	132	86	101	78	47	47	56
219293	13	17	16	13	40	10	9	17
83858	392	717	638	655	383	597	624	687
55210	255	366	367	289	124	337	266	390
339453	45	47	53	102	41	82	59	45
29101	416	600	506	674	540	618	390	612
643988	97	168	101	74	37	160	112	181
105378586	11	32	18	18	9	37	27	19
